,roc_l1,roc_l2,roc_l3,roc_l4,sma_l1,sma_l2,sma_l3,sma_l4,Returns%,MaxR
406,8,12,22,27,10,10,10,14,36.94155383751749,
407,8,12,22,27,10,10,10,16,33.833318609104396,
408,8,12,22,29,8,8,8,12,43.0791437068431,
409,8,12,22,29,8,8,8,14,40.7038506126822,
410,8,12,22,29,8,8,8,16,43.90233479050977,
411,8,12,22,29,8,8,10,12,38.30657329030598,
412,8,12,22,29,8,8,10,14,37.40293111299795,
413,8,12,22,29,8,8,10,16,33.33662252537249,
414,8,12,22,29,8,10,8,12,40.368186739265354,
415,8,12,22,29,8,10,8,14,40.280370963480635,
416,8,12,22,29,8,10,8,16,45.5274411100211,
417,8,12,22,29,8,10,10,12,37.813841672547795,
418,8,12,22,29,8,10,10,14,37.03075986946237,
419,8,12,22,29,8,10,10,16,34.040286505139534,
420,8,12,22,29,10,8,8,12,40.177149211381135,
421,8,12,22,29,10,8,8,14,39.53441328714649,
422,8,12,22,29,10,8,8,16,43.35088051916196,
423,8,12,22,29,10,8,10,12,38.30657329030598,
424,8,12,22,29,10,8,10,14,37.65801895373667,
425,8,12,22,29,10,8,10,16,33.872317632278765,
426,8,12,22,29,10,10,8,12,39.82852837714685,
427,8,12,22,29,10,10,8,14,41.17668589506454,
428,8,12,22,29,10,10,8,16,35.14572987248678,
429,8,12,22,29,10,10,10,12,37.05633052352465,
430,8,12,22,29,10,10,10,14,37.80073377034938,
431,8,12,22,29,10,10,10,16,35.0940773180597,
432,8,12,22,31,8,8,8,12,41.10053672673621,
433,8,12,22,31,8,8,8,14,43.41693457453886,
434,8,12,22,31,8,8,8,16,34.65277205420588,
435,8,12,22,31,8,8,10,12,38.71599016375134,
436,8,12,22,31,8,8,10,14,33.06829184481788,
437,8,12,22,31,8,8,10,16,35.5907502144436,
438,8,12,22,31,8,10,8,12,41.857207781077335,
439,8,12,22,31,8,10,8,14,44.19494043096276,
440,8,12,22,31,8,10,8,16,33.98365984971281,
441,8,12,22,31,8,10,10,12,39.464008915412876,
442,8,12,22,31,8,10,10,14,33.82972493709457,
443,8,12,22,31,8,10,10,16,34.39241117312906,
444,8,12,22,31,10,8,8,12,38.75900954984402,
445,8,12,22,31,10,8,8,14,41.054518780141706,
446,8,12,22,31,10,8,8,16,34.779478303940664,
447,8,12,22,31,10,8,10,12,39.474060601096596,
448,8,12,22,31,10,8,10,14,32.9125534551022,
449,8,12,22,31,10,8,10,16,34.411808985407106,
450,8,12,22,31,10,10,8,12,39.90402172460978,
451,8,12,22,31,10,10,8,14,42.1173412977362,
452,8,12,22,31,10,10,8,16,35.41636993102989,
453,8,12,22,31,10,10,10,12,40.83740746228327,
454,8,12,22,31,10,10,10,14,35.30895320297745,
455,8,12,22,31,10,10,10,16,33.70585130230742,
456,8,12,22,33,8,8,8,12,45.04775684854846,
457,8,12,22,33,8,8,8,14,37.34333963162254,
458,8,12,22,33,8,8,8,16,36.793345663415494,
459,8,12,22,33,8,8,10,12,33.178121240590286,
460,8,12,22,33,8,8,10,14,34.589677798682516,
461,8,12,22,33,8,8,10,16,34.48427017397316,
462,8,12,22,33,8,10,8,12,45.04775684854846,
463,8,12,22,33,8,10,8,14,36.77422947996149,
464,8,12,22,33,8,10,8,16,35.13130293442984,
465,8,12,22,33,8,10,10,12,35.78447179277737,
466,8,12,22,33,8,10,10,14,33.10199047149678,
467,8,12,22,33,8,10,10,16,32.39668558639636,
468,8,12,22,33,10,8,8,12,42.34093804032699,
469,8,12,22,33,10,8,8,14,38.037454873704206,
470,8,12,22,33,10,8,8,16,37.6631601923543,
471,8,12,22,33,10,8,10,12,35.82324186608386,
472,8,12,22,33,10,8,10,14,33.10199047149678,
473,8,12,22,33,10,8,10,16,32.244655064372466,
474,8,12,22,33,10,10,8,12,42.33599663226417,
475,8,12,22,33,10,10,8,14,33.292156302371836,
476,8,12,22,33,10,10,8,16,35.00169163728077,
477,8,12,22,33,10,10,10,12,33.919544760371394,
478,8,12,22,33,10,10,10,14,34.59411884196382,
479,8,12,22,33,10,10,10,16,34.09091163648415,
480,8,14,16,25,8,8,8,12,34.708643213522464,
481,8,14,16,25,8,8,8,14,28.978139174000177,
482,8,14,16,25,8,8,8,16,38.568059822543205,
483,8,14,16,25,8,8,10,12,33.86808420130748,
484,8,14,16,25,8,8,10,14,35.217246061117635,
485,8,14,16,25,8,8,10,16,40.88870414047415,
486,8,14,16,25,8,10,8,12,31.568932777542642,
487,8,14,16,25,8,10,8,14,33.08487888345101,
